ID,LABEL
0,6
1,9
2,5
3,9
4,9
5,1
6,3
7,7
8,4
9,9
10,0
11,9
12,9
13,7
14,0
15,9
16,2
17,5
18,3
19,4
20,5
21,4
22,9
23,4
24,3
25,1
26,8
27,3
28,0
29,5
30,2
31,1
32,2
33,0
34,2
35,5
36,5
37,8
38,6
39,7
40,2
41,8
42,6
43,4
44,4
45,2
46,7
47,1
48,8
49,2
50,0
51,0
52,2
53,8
54,8
55,8
56,1
57,4
58,3
59,4
60,0
61,5
62,9
63,6
64,3
65,3
66,4
67,7
68,9
69,2
70,5
71,4
72,3
73,0
74,8
75,0
76,9
77,6
78,0
79,8
80,8
81,7
82,6
83,9
84,3
85,7
86,5
87,4
88,5
89,3
90,4
91,4
92,8
93,8
94,5
95,0
96,2
97,8
98,6
99,6
100,8
101,1
102,7
103,8
104,3
105,0
106,3
107,2
108,2
109,8
110,1
111,4
112,4
113,2
114,3
115,4
116,7
117,6
118,4
119,0
120,9
121,1
122,6
123,4
124,6
125,1
126,6
127,3
128,7
129,1
130,2
131,6
132,2
133,4
134,2
135,3
136,2
137,9
138,1
139,5
140,9
141,5
142,5
143,7
144,0
145,2
146,5
147,8
148,6
149,3
150,8
151,2
152,0
153,0
154,2
155,6
156,1
157,0
158,2
159,2
160,1
161,1
162,9
163,0
164,5
165,8
166,7
167,9
168,8
169,5
170,0
171,8
172,4
173,4
174,0
175,2
176,2
177,0
178,2
179,3
180,8
181,7
182,7
183,9
184,2
185,1
186,8
187,6
188,0
189,5
190,1
191,0
192,7
193,2
194,1
195,9
196,5
197,8
198,3
199,5
200,6
201,2
202,0
203,9
204,6
205,7
206,3
207,4
208,9
209,0
210,3
211,2
212,1
213,6
214,5
215,9
216,3
217,2
218,8
219,0
220,5
221,9
222,4
223,1
224,8
225,6
226,3
227,8
228,7
229,6
230,1
231,6
232,9
233,9
234,1
235,2
236,6
237,0
238,2
239,7
240,4
241,4
242,5
243,6
244,7
245,5
246,8
247,2
248,2
249,6
250,0
251,0
252,4
253,4
254,4
255,2
256,1
257,1
258,2
259,2
260,8
261,3
262,4
